Reference
Buckman, S. J., Hammond, P., King, G. C., & Read, F. H. (1983). High-resolution electron impact excitation functions of metastable states of neon, argon, krypton and xenon. Journal of Physics B: Atomic and Molecular Physics, 16(22), 4219–4236. https://doi.org/10.1088/0022-3700/16/22/012

Variables (Var,Unit,Rms,Max)
*********************************
E       eV          n/a     n/a
crs     m2          n/a     20%
*********************************

Data
############################
Excitation, level 1 + level 3
############################
E                  crs
=============================
13.037663340418723 1.5774676833898684e-21
13.037492759392558 1.560602905936389e-21
13.037335299983791 1.5450354190562543e-21
13.036915408227078 1.503522120709228e-21
13.042850753163114 1.7071897425283807e-21
13.042680172136949 1.6903249650749011e-21
13.042457104641196 1.6682710253280434e-21
13.042024091267086 1.6254604364076725e-21
13.060148252399205 1.7570618610672726e-21
13.05345156206263 1.733549322330533e-21
13.056691872581013 1.830409602859293e-21
13.051664106181622 1.8122562825774007e-21
13.060478917157617 1.789753583515556e-21
13.0628699674389 1.7707219896425385e-21
13.066174428086782 1.7142828515061046e-21
13.069662591378226 1.6760057813964943e-21
13.06935423336939 1.645519452922897e-21
13.072942120953053 1.6171017911707055e-21
